Country Code,year,projects_total,projects_with_amount,usd_const_2021_sum,share_amount_estimated,amount_coverage,log1p_usd_const_2021,cumulative_inv,treat_year,treat_500m,post_500m,rel_time
MWI,2017,26,7,23421121.738951065,0.0,0.2692307692307692,16.969148854308067,732885501.519298,2013.0,1,1,4.0
MWI,2018,17,7,74446260.96780725,0.0,0.4117647058823529,18.12558810720797,807331762.4871051,2013.0,1,1,5.0
MWI,2019,11,5,68886346.4426335,0.0,0.4545454545454545,18.047968566024892,876218108.9297386,2013.0,1,1,6.0
MWI,2020,13,8,181933989.56929,0.3846153846153846,0.6153846153846154,19.01915449007372,1058152098.4990287,2013.0,1,1,7.0
MWI,2021,13,8,35796813.58309125,0.0,0.6153846153846154,17.3933694692862,1093948912.08212,2013.0,1,1,8.0
MYS,2004,4,4,407744983.1690761,0.0,1.0,19.826152498148968,407744983.1690761,2005.0,1,0,-1.0
MYS,2005,2,2,108945714.15062983,0.0,1.0,18.5063602899962,516690697.3197059,2005.0,1,1,0.0
MYS,2006,2,2,71118217.9839845,0.0,1.0,18.07985410644894,587808915.3036904,2005.0,1,1,1.0
MYS,2009,3,2,497916331.0030932,0.0,0.6666666666666666,20.02594261284808,1085725246.3067837,2005.0,1,1,4.0
MYS,2010,4,4,83563616.1477744,1.0,1.0,18.24111878174559,1169288862.454558,2005.0,1,1,5.0
MYS,2011,2,0,,0.0,0.0,0.0,,2005.0,1,1,6.0
MYS,2012,2,1,205471622.637022,0.0,0.5,19.140818497874644,1374760485.09158,2005.0,1,1,7.0
MYS,2013,2,1,191766213.872271,0.0,0.5,19.07178755720368,1566526698.963851,2005.0,1,1,8.0
MYS,2014,4,3,5440773.353792813,0.0,0.75,15.509431953149324,1571967472.317644,2005.0,1,1,9.0
MYS,2015,12,11,2281420415.977479,0.0,0.9166666666666666,21.54806407583752,3853387888.295123,2005.0,1,1,10.0
MYS,2016,3,1,854782780.091709,0.0,0.3333333333333333,20.56635793742036,4708170668.386832,2005.0,1,1,11.0
MYS,2017,10,9,2085921202.675084,0.0,0.9,21.458476418926157,6794091871.061916,2005.0,1,1,12.0
MYS,2018,12,11,6565678092.511741,0.0833333333333333,0.9166666666666666,22.60512162855407,13359769963.573658,2005.0,1,1,13.0
MYS,2019,11,10,1421101784.8987627,0.3636363636363636,0.9090909090909092,21.074698313262985,14780871748.47242,2005.0,1,1,14.0
MYS,2020,76,66,1168029964.133602,0.7105263157894737,0.868421052631579,20.8785843761035,15948901712.606022,2005.0,1,1,15.0
