Country Code,year,projects,usd_const_2021,share_amount_estimated,log1p_usd_const_2021
STP,2018,14,61100414.6268942,0.0,17.92802922652285
STP,2019,17,31626001.105226357,0.0,17.269490191631714
STP,2020,18,1174521.6335606992,0.1111111111111111,13.976372353700619
STP,2021,4,1886912.7714454848,0.25,14.450453127199268
SUR,2001,2,12572688.8370665,0.0,16.347037546303127
SUR,2002,1,52681610.8387074,0.0,17.77977703115768
SUR,2003,2,852622.309132488,0.0,13.656073121823534
SUR,2004,1,98717517.6822128,0.0,18.407772982900813
SUR,2005,1,0.0,0.0,0.0
SUR,2006,3,1015974.54262835,0.0,13.831359834614632
SUR,2007,1,5757646.02522912,0.0,15.566039446647782
SUR,2008,2,301948889.691204,0.0,19.525768324895253
SUR,2011,2,17096985.2345681,0.0,16.654412762347654
SUR,2012,2,55871393.413655356,0.0,17.838563079306365
SUR,2013,5,58319489.74821441,0.0,17.88144691360005
SUR,2014,4,28957277.60544646,0.0,17.18133215025985
SUR,2015,6,282367893.2586092,0.0,19.458721368234347
SUR,2016,13,325811122.3597925,0.0,19.601828395230783
SUR,2017,10,113886660.77534413,0.0,18.55071431686604
SUR,2018,6,45565352.89412978,0.0,17.63465820267974
SUR,2019,13,265359158.543292,0.0,19.396594785365963
SUR,2020,5,0.0,0.0,0.0
SUR,2021,9,1846511.6279069767,0.1111111111111111,14.428809352085368
SXM,2017,1,121312.399480383,0.0,11.706132554456845
SYC,2000,2,0.0,0.0,0.0
SYC,2001,2,486068.373605536,0.0,13.094106636739982
SYC,2002,1,0.0,0.0,0.0
SYC,2003,2,5886274.67871626,0.0,15.588134043021999
SYC,2004,2,0.0,0.0,0.0
SYC,2005,13,15622217.701106193,0.0,16.5642047346131
SYC,2006,7,244832.37857246492,0.0,12.408333170703157
SYC,2007,8,15747538.720143454,0.0,16.57219470278928
SYC,2008,7,9723279.10968982,0.0,16.090033579354486
SYC,2009,5,9049610.54085562,0.0,16.0182323910925
SYC,2010,9,3115467.519849751,0.0,14.951890106550014
SYC,2011,10,43263433.49510527,0.0,17.582818367272747
SYC,2012,9,12667651.90774042,0.0,16.354562287128932
SYC,2013,10,5607472.6223918395,0.0,15.539610841378249
SYC,2014,5,0.0,0.0,0.0
SYC,2015,4,0.0,0.0,0.0
SYC,2016,5,21339441.02335808,0.0,16.876067656511886
SYC,2017,9,13356368.77067169,0.0,16.407503965397066
SYC,2018,12,6231495.40596204,0.0,15.64512705549514
SYC,2019,8,233976.62202938,0.0,12.362980757413697
SYC,2020,10,194570.87520792242,0.4,12.178556912122234
SYC,2021,11,641917.677944378,0.09090909090909091,13.372216904780222
SYR,2002,1,0.0,0.0,0.0
SYR,2004,5,6879523.58590715,0.0,15.744060106636361
SYR,2005,3,9005484.34901748,0.0,16.013344432865193
SYR,2006,2,21405873.045165453,0.0,16.87917593041896
SYR,2008,4,145110129.17153454,0.0,18.79300353052107
SYR,2009,3,26383818.9222019,0.0,17.088261498492983
SYR,2010,2,2228363097.27398,0.0,21.52453311623319
SYR,2011,4,0.0,0.0,0.0
SYR,2012,2,4696494.23170338,0.0,15.36232709312893
SYR,2013,1,2256073.10437967,0.0,14.629136738746638
SYR,2014,3,7246999.73680829,0.0,15.796098249762213
SYR,2015,1,0.0,0.0,0.0
SYR,2016,6,590402.254179233,0.0,13.288561064074404
SYR,2017,12,29059531.450140946,0.0,17.184857126855885
SYR,2018,8,15504727.036208691,0.125,16.55665556996999
SYR,2019,4,1849735.11750226,0.25,14.430553547692604
SYR,2020,3,21907.5172509904,0.3333333333333333,9.994630755766872
SYR,2021,6,17100000.0,0.6666666666666666,16.65458907995242
TCD,2006,4,0.0,0.0,0.0
TCD,2007,11,406092149.7238172,0.0,19.82209066403786
TCD,2008,5,0.0,0.0,0.0
TCD,2009,5,44852492.1677433,0.0,17.618889733948443
TCD,2010,6,0.0,0.0,0.0
TCD,2011,10,666213664.1253227,0.0,20.3171209955599
TCD,2012,7,234588.206792726,0.0,12.36559120729204
TCD,2013,10,4963360.829635268,0.0,15.417593857339321
TCD,2014,6,0.0,0.0,0.0
TCD,2015,8,2458636.423015786,0.0,14.71511786137009
TCD,2016,7,188407.7539545289,0.0,12.146369104771747
TCD,2017,7,14980396.041272594,0.0,16.52225304045995
TCD,2018,14,131385241.04674624,0.0,18.693644344516517
TCD,2019,10,243204951.23680517,0.0,19.309415070664777
TCD,2020,17,3534852.050666579,0.23529411764705882,15.078182286623182
TCD,2021,4,3657706.526247453,0.25,15.112347150184048
TGO,2000,2,0.0,0.0,0.0
TGO,2001,3,73638128.933585,0.0,18.1146735192971
TGO,2002,1,905925.758534097,0.0,13.716713741287258
TGO,2003,5,7048813.92776272,0.0,15.768370065306039
TGO,2004,5,40715211.734225474,0.2,17.522112357829204
TGO,2005,4,18309497.118667495,0.0,16.72293050604387
TGO,2006,4,77724403.67428,0.0,18.16867985449449
TGO,2007,6,35257485.98877872,0.0,17.378188461514323
TGO,2008,8,23563770.48107817,0.0,16.97522098377828
TGO,2009,5,304635596.82320786,0.0,19.5346268590401
