Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated
FRA,2000,,100.428260803223,105.590217590332,50.6030807495117,60918661.0,76.5143983146093,0.785089075565338,10.014205419747652,,0,0,0.0,0.0,0.0,0.0
FRA,2001,,100.382209777832,104.571113586426,50.4472885131836,61364377.0,76.9074413607811,,10.013811497517445,,0,0,0.0,0.0,0.0,0.0
FRA,2002,,100.249298095703,103.186340332031,50.2516899108887,61812142.0,77.2543866607525,0.924183249473572,10.091856317303748,,0,0,0.0,0.0,0.0,0.0
FRA,2003,,99.9754486083984,102.772102355957,52.3169784545898,62249855.0,77.4691216035138,0.179551064968109,10.291485060193786,,0,0,0.0,0.0,0.0,0.0
FRA,2004,10.35471,99.8111801147461,102.220016479492,53.4576301574707,62707588.0,77.4900500011961,0.345115303993225,10.423647323948542,,0,0,0.0,0.0,0.0,0.0
FRA,2005,10.43849,104.636489868164,106.781677246094,53.8823318481445,63180854.0,77.4363315105438,0.399723917245865,10.454419223346008,,0,0,0.0,0.0,0.0,0.0
FRA,2006,,104.278846740723,106.927520751953,53.8754196166992,63622342.0,77.3467240068648,0.595505774021149,10.503218320974266,,0,0,0.0,0.0,0.0,0.0
FRA,2007,10.7025,103.85977935791,106.69352722168,52.9475402832031,64016890.0,77.2457976606157,0.563000798225403,10.633140002740523,,0,0,0.0,0.0,0.0,0.0
FRA,2008,10.78967,103.622146606445,106.432838439941,52.4755210876465,64375116.0,77.1561901569367,0.543759167194366,10.724716072906626,,0,0,0.0,0.0,0.0,0.0
FRA,2009,10.7649,103.041137695312,106.239227294922,52.7731018066406,64706436.0,77.1005391809676,0.512012898921967,10.638953728545014,,0,0,0.0,0.0,0.0,0.0
FRA,2010,10.92268,102.761512756348,106.424942016602,54.881721496582,65026211.0,77.0962844808803,0.681087553501129,10.61388069219627,,0,0,0.0,0.0,0.0,0.0
FRA,2011,10.99965,102.691101074219,106.610641479492,55.6257286071777,65340830.0,77.1182717387509,0.602992832660675,10.690370585373737,,0,0,0.0,0.0,0.0,0.0
FRA,2012,11.08815,102.523162841797,105.813583374023,57.9090118408203,65657659.0,77.1669464919916,0.554941534996033,10.618018987422143,,0,0,0.0,0.0,0.0,0.0
