Country Code,year,birth_rate_crude_per_1000
ROU,2003,9.8
RUS,2003,10.2
RWA,2003,41.402
WSM,2003,30.172
SMR,2003,10.661
STP,2003,39.551
SAU,2003,22.302
SEN,2003,38.675
SRB,2003,10.6
SYC,2003,18.1
SLE,2003,43.473
SGP,2003,10.5
SXM,2003,14.29
SVK,2003,9.6
SVN,2003,8.7
SLB,2003,34.612
SOM,2003,50.123
ZAF,2003,21.388
SSD,2003,46.77
ESP,2003,10.4
LKA,2003,19.093
KNA,2003,16.752
LCA,2003,16.622
MAF,2003,24.553
VCT,2003,17.622
SDN,2003,40.206
SUR,2003,23.021
SWE,2003,11.1
CHE,2003,9.8
SYR,2003,29.577
TJK,2003,28.951
TZA,2003,41.335
THA,2003,14.053
TLS,2003,38.365
TGO,2003,37.528
TON,2003,29.887
TTO,2003,14.407
TUN,2003,16.249
TUR,2003,18.949
TKM,2003,22.445
TCA,2003,19.616
TUV,2003,23.632
UGA,2003,46.962
UKR,2003,8.546
ARE,2003,15.647
GBR,2003,11.7
USA,2003,14.1
URY,2003,15.275
UZB,2003,20.464
VUT,2003,31.554
VEN,2003,22.939
VNM,2003,18.151
VIR,2003,14.0
PSE,2003,38.8
YEM,2003,39.37
ZMB,2003,43.945
ZWE,2003,36.613
AFE,2003,40.1466747369261
AFW,2003,42.8742750010116
ARB,2003,28.5657733900258
CSS,2003,18.3752187097475
CEB,2003,9.28417867874175
EAR,2003,26.0109353904014
EAS,2003,14.4808815930757
EAP,2003,15.0812694347815
TEA,2003,15.0782387277398
EMU,2003,10.324978117442
ECS,2003,11.6801683874126
ECA,2003,15.6597117162747
TEC,2003,12.8140015449528
EUU,2003,10.1566165986821
FCS,2003,37.4194004533204
HPC,2003,42.1971693251842
HIC,2003,11.5276069575516
IBD,2003,18.873545355793
IBT,2003,22.9896987834753
IDB,2003,37.5609124318051
IDX,2003,36.561526215244
IDA,2003,36.9101955290263
LTE,2003,13.5744987014806
LCN,2003,20.6475471937333
LAC,2003,20.8566579825669
TLA,2003,20.8926550859751
LDC,2003,37.9067679958312
LMY,2003,23.242176583533
LIC,2003,41.3313757792757
LMC,2003,28.6507380626666
MEA,2003,28.3033272947415
MNA,2003,28.8262131535822
TMN,2003,28.7621430391725
MIC,2003,21.8855795783007
NAC,2003,13.7554716222146
INX,2003,
OED,2003,13.1765495767549
OSS,2003,21.5815861635512
PSS,2003,28.743096949814
PST,2003,11.2204141175928
PRE,2003,43.0190986904232
SST,2003,21.715255734107
SAS,2003,25.9274407928793
TSA,2003,25.9274407928793
SSF,2003,41.2518139432389
SSA,2003,41.023312055609
TSS,2003,41.2518139432389
UMC,2003,15.6135830599906
WLD,2003,21.141807262738
AFG,2004,46.492
ALB,2004,14.7
DZA,2004,20.337
ASM,2004,28.479
AND,2004,10.253
AGO,2004,46.46
ATG,2004,15.947
ARG,2004,18.295
ARM,2004,11.8
ABW,2004,12.54
AUS,2004,12.3
AUT,2004,9.7
AZE,2004,15.8
BHS,2004,15.967
BHR,2004,19.86
BGD,2004,26.994
BRB,2004,13.472
BLR,2004,9.1
BEL,2004,11.3
BLZ,2004,27.272
BEN,2004,41.329
BMU,2004,11.583
BTN,2004,21.261
BOL,2004,27.689
BIH,2004,10.125
BWA,2004,27.309
BRA,2004,17.5
VGB,2004,12.245
BRN,2004,17.365
BGR,2004,9.1
BFA,2004,44.124
BDI,2004,45.29
CPV,2004,23.943
KHM,2004,26.261
CMR,2004,41.275
CAN,2004,10.6
CYM,2004,14.875
CAF,2004,41.558
TCD,2004,50.375
CHI,2004,10.7
CHL,2004,14.415
CHN,2004,12.29
COL,2004,20.278
COM,2004,34.333
COD,2004,43.781
COG,2004,37.113
CRI,2004,17.136
CIV,2004,42.276
HRV,2004,9.1
CUB,2004,11.262
CUW,2004,13.791
CYP,2004,11.894
CZE,2004,9.6
DNK,2004,12.0
DJI,2004,31.601
DMA,2004,15.239
DOM,2004,23.103
ECU,2004,23.73
EGY,2004,26.569
SLV,2004,22.065
GNQ,2004,39.832
ERI,2004,37.0
EST,2004,10.3
SWZ,2004,32.557
ETH,2004,42.712
FRO,2004,14.8
FJI,2004,24.128
FIN,2004,11.0
FRA,2004,12.8
PYF,2004,18.075
GAB,2004,32.748
GMB,2004,39.709
GEO,2004,12.326
DEU,2004,8.6
GHA,2004,34.282
GIB,2004,11.086
GRC,2004,9.6
GRL,2004,15.7
GRD,2004,17.07
GUM,2004,20.678
GTM,2004,31.726
GIN,2004,40.244
GNB,2004,40.801
GUY,2004,22.02
HTI,2004,29.642
HND,2004,30.487
HKG,2004,7.2
HUN,2004,9.4
ISL,2004,14.5
IND,2004,25.121
IDN,2004,20.796
IRN,2004,16.176
